Rank,PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
66,James Johnson,Mem,SF,26,3,9,16.5,32.9,0,10,0.7,10,0.3,5,0.4,0.49,6.3,2,12.4,0,0,0.33,0,0
67,James Jones,Mia,SF,33,15,8.2,17.1,17.2,0,3,0.667,8,0.375,32,0.469,0.641,3.5,0.7,6,0.3,6.9,0.2,0.13,4.4
68,Jared Dudley,Lac,SF,28,7,6.2,12.8,11.1,0,0,0,5,0,6,0.5,0.409,1.3,0.9,8,0.3,6.2,0.14,0,4.6
69,Jeff Teague,Atl,PG,25,7,34.3,71.5,29.1,0.139,40,0.95,85,0.412,27,0.333,0.521,19.3,3.7,6.2,5,32.5,1,0.57,8.3
70,Jeremy Lamb,Okc,SG,21,11,8.9,17.8,21.7,0.064,4,1,28,0.536,14,0.143,0.457,3.6,1.5,9.2,0.6,12.5,0.64,0.09,6.7
71,Jeremy Lin,Hou,PG,25,6,29.3,58,19.6,0.16,16,0.813,38,0.526,23,0.217,0.5,11.3,3.7,6.9,4.3,22.2,0.5,0.17,7.7
72,Jermaine O’Neal,Gol,PF,35,7,11.8,24.6,20.4,0.101,8,0.75,32,0.563,0,0,0.591,6,3.4,16.6,0.1,2.1,0.14,0.43,4.3
73,Jimmy Butler,Chi,SG,24,5,43.3,88.4,15.6,0.043,23,0.783,37,0.432,20,0.3,0.507,13.6,5.2,6.9,2.2,8.8,1.4,0,5
74,Joakim Noah,Chi,C,28,5,41.7,85.2,15.6,0.282,17,0.588,41,0.512,0,0,0.536,10.4,12.8,17.7,4.6,19.1,0.8,1.4,8.1
75,Joe Johnson,Bro,SG,32,12,38.9,81.1,23.1,0.086,43,0.837,130,0.577,53,0.415,0.624,21,3.8,6.2,2.9,14.5,0.5,0.25,6.3
76,John Salmons,Tor,SG,34,6,12.5,26.1,11.5,0.054,1,1,5,0.6,12,0.167,0.373,2.2,1,4.9,0.8,10.8,0.33,0,3.9
77,John Wall,Was,PG,23,11,37.9,78.2,26.1,0.157,68,0.765,132,0.402,32,0.219,0.462,16.3,4,6.1,7.1,33,1.64,0.73,8.2
78,Jon Leuer,Mem,PF,24,3,7.3,13.4,16.5,0,2,1,5,0.4,2,0.5,0.571,3,2.7,20.4,0.7,15.5,0.33,0,9.8
79,Jonas Valanciunas,Tor,C,21,7,28.4,59.3,18.3,0.245,22,0.636,49,0.633,0,0,0.648,10.9,9.7,20.8,0.3,1.9,0,1,4.5
80,Jordan Crawford,Gol,SG,25,6,9.2,19.1,34.1,0.113,14,0.786,26,0.385,7,0.286,0.472,6.2,1.5,9.3,0.3,6.3,0.17,0,6.1
81,Jose Calderon,Dal,SG,32,7,27.1,56.5,17.2,0.097,1,1,42,0.452,23,0.478,0.55,10.3,1.3,2.8,4.4,24.8,0.14,0,5.7
82,Josh McRoberts,Cha,PF,26,4,38.3,79.7,13.5,0.138,10,0.8,16,0.438,17,0.471,0.615,11.5,6.8,11.1,3.8,16.2,1,0.25,7
83,Kawhi Leonard,San,SF,22,23,31.8,65.9,19.1,0.097,72,0.736,165,0.552,74,0.419,0.606,14.3,6.7,12.4,1.7,7.9,1.7,0.65,6.9
84,Kemba Walker,Cha,PG,23,4,38,79.2,24.4,0.193,18,0.778,31,0.452,24,0.5,0.62,19.5,3.8,6.2,6,29.6,2,0.75,8
85,Kendrick Perkins,Okc,C,29,19,20,40.6,9.2,0.326,15,0.8,45,0.533,0,0,0.581,3.2,5.4,15.2,0.7,5.4,0.21,0.32,4.6
86,Kevin Durant,Okc,SF,25,19,42.7,86.5,31.8,0.127,163,0.81,297,0.508,125,0.344,0.57,29.6,8.9,11.9,3.9,18.4,1,1.32,9.5
87,Kevin Garnett,Bro,C,37,12,20.6,42.9,17,0.151,23,0.739,61,0.541,2,0,0.568,6.9,6.3,19.4,1.3,11,0.75,0.42,7.5
