Rank,PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
123,Norris Cole,Mia,PG,25,20,20,41.7,13.2,0.183,15,0.867,38,0.447,40,0.375,0.544,4.6,1.1,3.7,1.8,13.7,0.4,0.05,4.2
124,Omer Asik,Hou,C,27,6,26.9,53.3,11.9,0.243,3,1,33,0.485,0,0,0.51,5.8,8.2,16.7,0.7,3.5,0.5,0.67,4.8
125,Patrick Beverley,Hou,SG,25,6,33.6,66.5,12.3,0.068,10,0.7,28,0.429,22,0.318,0.478,8.7,4.2,6.8,1.8,7.6,0.5,0.33,4.8
126,Patrick Mills,San,PG,25,23,15,31.2,21.6,0.087,13,0.769,62,0.5,79,0.405,0.573,7.3,1.5,5.9,1.4,14.9,0.74,0.04,6.6
127,Patrick Patterson,Tor,PF,24,7,28.3,58.9,14.7,0.097,18,0.778,30,0.633,18,0.389,0.653,10.4,6.7,14.5,1.3,8.3,0.43,0.43,6.3
128,Paul George,Ind,SF,23,19,40.9,85.3,26.4,0.117,128,0.789,186,0.462,129,0.403,0.578,22.6,7.6,11.3,3.8,17.9,2.16,0.42,8.5
129,Paul Millsap,Atl,PF,28,7,37.9,79,25.9,0.135,56,0.804,76,0.421,27,0.333,0.533,19.4,10.9,16.3,2.9,15.8,1.43,1.86,9
130,Paul Pierce,Bro,SF,36,12,30.5,63.6,21.8,0.123,32,0.781,76,0.539,53,0.358,0.573,13.7,4.5,9.3,2,11.7,1.17,0.33,6.5
131,Pero Antic,Atl,PF,31,7,24.1,50.2,14.8,0.149,8,0.625,17,0.235,25,0.12,0.242,3.1,3.9,9.1,0.7,5,0.71,0.43,3.4
132,Rashard Lewis,Mia,SF,34,18,17.5,36.5,14.9,0.054,4,0.75,26,0.5,59,0.373,0.547,5.3,2.1,8,0.3,2.5,0.39,0.33,3.4
133,Rasual Butler,Ind,SG,34,11,6.1,12.7,12.2,0.059,2,1,3,0.333,12,0.417,0.598,1.7,0.5,5.4,0.1,2.4,0.09,0.09,2.9
134,Ray Allen,Mia,SG,38,20,26.1,54.5,17.8,0.126,37,0.919,58,0.448,85,0.388,0.581,9.3,3.4,8.5,1.6,9.8,0.7,0.2,5.7
135,Reggie Jackson,Okc,PG,23,19,27.7,56.2,18.9,0.174,44,0.886,108,0.5,53,0.396,0.582,11.1,3.8,7.7,2.4,14.6,0.26,0.21,6.7
136,Robin Lopez,Por,C,25,11,33.1,67.1,13.8,0.096,36,0.667,88,0.489,0,0,0.53,10,9.1,14.9,0.8,3.7,0.55,1.82,5
137,Roy Hibbert,Ind,C,27,19,28.3,58.9,17.9,0.127,57,0.772,146,0.452,1,0,0.511,9.3,5.5,11.7,0.9,5.5,0.21,1.42,5.1
138,Russell Westbrook,Okc,PG,25,19,38.6,78.2,34.4,0.15,164,0.884,298,0.466,100,0.28,0.539,26.7,7.3,10.7,8.1,40.6,2.16,0.32,12.1
