Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
20	Blake Griffin	Lac	PF	26	4	31.7	66.1	25.7	0.123	25	0.76	51	0.373	2	0.5	0.469	15	8.8	13.6	4	20.4	0.75	0.5	10.2
21	Boban Marjanovic	San	C	27	7	6	12.5	21.1	0.158	9	0.889	12	0.667	0	0	0.752	3.4	2	19.3	0.4	11.6	0	0.29	9.3
22	Boris Diaw	San	PF	33	9	17.6	36.7	15.8	0.112	4	0.75	40	0.475	6	0.333	0.492	5.2	2.1	6.9	2.3	19.7	0.22	0.44	6.7
23	Brandon Rush	Gol	SG	30	14	7.9	16.4	9.1	0.087	2	0.5	8	0.625	12	0.333	0.551	1.6	1.6	11.3	0.2	3.8	0.14	0.14	4.1
24	Cameron Payne	Okc	PG	21	10	6.4	13.4	24.2	0.224	4	0.5	16	0.313	10	0.2	0.324	1.8	0.4	3.5	0.8	18.1	0.2	0.2	5.2
25	Channing Frye	Cle	PF	32	17	14	29.1	15	0.065	7	0.857	23	0.652	46	0.565	0.791	6.7	2.4	10.2	0.3	3.4	0.35	0.53	4.8
26	Charlie Villanueva	Dal	PF	31	4	5.1	10.6	31.6	0.072	2	1	7	0.286	5	0.2	0.349	2.3	0.5	5.7	0.3	8.3	0	0	5.5
27	Chris Andersen	Mem	C	37	4	19.7	41	12	0.244	8	0.625	12	0.417	0	0	0.483	3.8	7.8	22.8	0.8	6.3	0.5	0.75	5.8
28	Chris Kaman	Por	C	33	4	8.1	16.9	31.7	0.25	0	0	18	0.389	0	0	0.389	3.5	2	12.7	0.3	5.6	0.5	0	6.3
29	Chris Paul	Lac	PG	30	4	31.3	65.3	30.8	0.046	15	1	56	0.554	20	0.3	0.575	23.8	4	6.3	7.3	48.3	2.25	0	11.3
30	CJ McCollum	Por	SG	24	11	40.2	83.8	22.9	0.084	46	0.804	139	0.46	58	0.345	0.518	20.5	3.6	4.6	3.3	14.1	0.91	0.45	6.2
31	CJ Miles	Ind	SF	28	7	13.1	27.4	22.1	0.071	3	0.667	18	0.444	20	0.1	0.305	3.4	3.4	15	0.6	7.5	0.14	0.14	5.8
32	Clint Capela	Hou	C	21	5	8.7	18	13.5	0.211	5	0.4	9	0.333	0	0	0.357	1.6	4	24.4	0.4	7.5	0.6	0.4	6.3
33	Cody Zeller	Cha	C	23	7	19.6	40.9	18.8	0.129	21	0.81	38	0.553	0	0	0.624	8.4	5.3	15.4	0.3	2.9	0.14	0.43	4.8
34	Cole Aldrich	Lac	C	27	6	12.8	26.7	11.4	0.102	6	0.5	15	0.667	0	0	0.652	3.8	5	19.3	0.5	6.1	1	0.5	6.6
35	Corey Brewer	Hou	SF	29	5	15.4	32.2	19.5	0.164	8	0.875	17	0.353	10	0.1	0.36	4.4	1.4	4.8	1.6	17.4	0	0.2	5.6
36	Cory Joseph	Tor	SG	24	20	22.6	47.1	18.9	0.12	32	0.75	124	0.492	24	0.333	0.524	8.5	2.1	5.4	2.4	18.9	0.9	0.1	6.2
37	Courtney Lee	Cha	SG	30	7	36.7	76.4	11.6	0.08	15	0.933	41	0.415	10	0.4	0.521	8.6	2.9	4.5	1.3	6	0.86	0.43	3.5
38	Damian Lillard	Por	PG	25	11	39.8	82.8	30.2	0.107	78	0.91	135	0.348	107	0.393	0.527	26.5	4.3	5.5	6.3	28.1	1.27	0.27	9
39	Danny Green	San	SG	28	10	26.7	55.7	12.6	0.083	3	0.667	17	0.353	48	0.5	0.648	8.6	3.1	6.7	0.7	3.8	2.1	0.8	4
40	David Lee	Dal	PF	32	2	16.3	33.9	11.4	0	0	0	8	0.75	0	0	0.75	6	3	10.7	0.5	5.6	0	0	5.1
41	David West	San	PF	35	10	17.6	36.6	17.5	0.106	9	0.556	49	0.449	6	0.5	0.492	5.8	3.7	12.2	1.3	11.1	0.6	0.7	6.9
42	DeAndre Jordan	Lac	C	27	6	33.1	68.9	16	0.099	59	0.373	38	0.632	0	0	0.547	11.7	16.3	24.5	1.8	8.5	1.17	2.67	8.5
43	DeMar DeRozan	Tor	SG	26	20	37.3	77.7	30.9	0.091	123	0.813	371	0.412	27	0.148	0.462	20.9	4.2	6.7	2.7	14.4	1.1	0.15	6.6
44	DeMarre Carroll	Tor	SF	29	20	29.8	62.1	15	0.093	36	0.75	80	0.45	79	0.329	0.506	8.9	4.1	8.2	0.9	5	0.9	0.35	4.3
45	Dennis Schroder	Atl	PG	22	10	19.1	39.8	30.6	0.161	13	0.846	69	0.507	35	0.343	0.533	11.7	1.9	5.3	3.5	36	0.4	0.1	8.9
46	Deron Williams	Dal	PG	31	3	16.4	34.2	23.5	0.28	0	0	11	0.273	7	0.429	0.417	5	0.7	2.4	2.7	26.3	0.33	0	5.2
47	Devin Harris	Dal	PG	32	5	24.1	50.2	14.4	0.08	10	0.5	17	0.647	13	0.308	0.567	7.8	2.8	6.8	1.6	10.8	0.6	0	5.4
48	Dion Waiters	Okc	SG	24	18	27.3	56.8	14.6	0.121	30	0.667	76	0.447	56	0.375	0.52	8.4	2.6	5.3	2.3	12.5	0.56	0.17	5.4
49	Dirk Nowitzki	Dal	PF	37	5	34	70.9	26.5	0.072	17	0.941	72	0.514	11	0.364	0.564	20.4	5	8.6	1.6	9.5	0.4	0.6	6.4
50	Donatas Motiejunas	Hou	PF	25	5	19.7	41	23.6	0.212	17	0.471	28	0.429	9	0.444	0.495	8.8	5.2	14	1	9.7	0.8	0.4	7.3
51	Draymond Green	Gol	PF	25	23	38.2	79.7	19	0.147	107	0.738	173	0.474	104	0.365	0.551	15.5	9.9	14	6	23.4	1.61	1.78	10.2
52	Dwight Howard	Hou	C	30	5	36	75	17.5	0.156	38	0.368	47	0.553	1	0	0.51	13.2	14	20.5	1.6	8.2	0.8	1.4	7.4
53	Dwight Powell	Dal	PF	24	4	16	33.3	18	0.04	11	0.545	18	0.5	1	0	0.503	6	4.3	15.5	1	10.5	0.25	0	7.4
54	Dwyane Wade	Mia	SG	34	14	33.8	70.3	32.3	0.119	64	0.781	231	0.463	23	0.522	0.532	21.4	5.6	9.9	4.3	25.4	0.79	0.93	9.5
55	Ed Davis	Por	PF	26	11	18.6	38.8	13.5	0.155	33	0.576	38	0.553	2	0	0.559	5.5	6.8	18.8	1.3	10.3	0.18	0.64	7.8
