Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
91	Jose Juan Barea	Dal	PG	31	4	25.1	52.3	21.2	0.24	2	1	26	0.385	8	0.125	0.358	6.3	1.5	3.5	5	31.7	0	0	5.8
92	Josh Huestis	Okc	PF	24	2	5.1	10.6	12.7	0	0	0	1	0	2	0.5	0.5	1.5	1.5	16.4	0	0	0	0	0
93	Josh McRoberts	Mia	PF	28	10	13.4	27.8	14.5	0.098	6	1	27	0.593	7	0	0.519	3.8	2.6	11.5	0.9	10.7	0.5	0.5	6.2
94	Josh McRoberts	Mia	PF	28	10	13.4	27.8	14.5	0.098	6	1	27	0.593	7	0	0.519	3.8	2.6	11.5	0.9	10.7	0.5	0.5	6.2
95	Josh Richardson	Mia	SG	22	14	27.6	57.5	13.2	0.112	14	0.714	43	0.372	46	0.37	0.489	6.6	3.6	7.6	1.6	8.5	0.43	0.93	4.9
96	Josh Smith	Hou	PF	30	4	9.4	19.5	20.7	0.265	2	0	5	0.4	8	0.5	0.576	4	0.5	2.8	1	20.2	0.25	0.25	5.4
97	Justin Anderson	Dal	SF	22	5	19	39.6	23.5	0.104	14	0.643	25	0.52	12	0.333	0.544	9.4	4	12.3	1.4	13.2	0.8	0.6	7.9
98	Justise Winslow	Mia	SF	19	13	25.4	52.8	14.3	0.121	30	0.7	56	0.482	18	0.278	0.516	6.9	4.8	11.3	0.6	3.7	0.62	0.31	4.3
99	Kawhi Leonard	San	SF	24	10	33.9	70.5	28.1	0.078	51	0.824	127	0.52	39	0.436	0.597	22.5	6.3	10.8	2.8	14.7	2.6	1.4	8.7
100	Kelly Olynyk	Bos	C	24	4	7.9	16.4	17.7	0.308	0	0	6	0.167	3	0	0.111	0.5	1	6.6	0.8	14.2	0.25	0	3.7
101	Kemba Walker	Cha	PG	25	7	37.1	77.3	33.1	0.067	35	0.943	111	0.378	42	0.333	0.472	22.7	3.3	5.1	4	24	1.43	0.57	7.2
102	Kent Bazemore	Atl	SF	26	10	32.5	67.8	19.4	0.071	22	0.682	59	0.475	62	0.258	0.455	11.9	6.6	10.9	1.9	9.4	1.4	0.6	6.5
103	Kentavious Caldwell-Pope	Det	SG	22	4	40.3	83.9	17.2	0.036	7	0.714	23	0.435	27	0.444	0.575	15.3	4.3	6.4	2.8	11.1	1.75	0.25	5.6
104	Kevin Durant	Okc	SF	27	18	40.3	84	32.1	0.121	146	0.89	297	0.485	110	0.282	0.542	28.4	7.1	9.8	3.3	14.9	1	1	8.7
105	Kevin Love	Cle	PF	27	20	30.6	63.8	22.6	0.09	75	0.84	128	0.359	111	0.414	0.539	14.7	8.8	16.9	2.1	10.6	0.45	0.4	8.5
106	Kevin Martin	San	SG	32	5	9.9	20.5	25.8	0.22	3	0.667	12	0.333	8	0.5	0.516	4.4	0.8	4.7	0.6	9.5	0.2	0	5.2
107	KJ McDaniels	Hou	SF	22	4	8.4	17.6	15.8	0	0	0	10	0.3	3	0.333	0.346	2.3	1.8	10.9	0.3	5.2	0	0.75	5.1
108	Klay Thompson	Gol	SG	25	24	35.4	73.7	28	0.087	96	0.854	220	0.468	232	0.422	0.589	24.3	3.7	5.6	2.3	11.2	1.08	0.38	6.7
109	Kris Humphries	Atl	PF	30	4	14	29.2	26	0.061	6	1	18	0.444	10	0.5	0.604	9.3	6	23	1	13.6	0.5	1.25	10.9
110	Kyle Anderson	San	SF	22	10	12.9	26.8	11.6	0.125	7	0.857	22	0.318	3	0.333	0.41	2.3	2.4	10.8	0.7	7.3	0.6	0.3	4.9
111	Kyle Korver	Atl	SG	34	10	31.6	65.9	12.3	0.092	9	1	21	0.524	54	0.444	0.652	10.3	4.8	8.2	1.1	5.4	1	0.4	4.8
112	Kyle Lowry	Tor	PG	29	20	38.3	79.8	26.5	0.144	104	0.75	192	0.464	138	0.304	0.508	19.1	4.7	7.4	6	29.2	1.6	0.15	8.5
113	Kyle Singler	Okc	SF	27	6	8.4	17.5	8.5	0	2	0	5	0.2	4	0.5	0.405	1.3	1.2	7.7	0	0	0.17	0	0
114	Kyrie Irving	Cle	PG	23	21	36.8	76.8	30.5	0.094	88	0.875	307	0.489	116	0.44	0.574	25.2	3	4.7	4.7	23.5	1.71	0.62	7.7
115	LaMarcus Aldridge	San	PF	30	10	33.7	70.3	27.6	0.055	46	0.891	167	0.515	2	1	0.579	21.9	8.3	14.2	1	5.4	0.4	1.4	6.7
