Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
1	Aaron Brooks	Ind	PG	32	1	7.3	15.2	24	0.25	0	0	1	1	2	0.5	0.833	5	1	8	1	24	0	0	9.4
2	Al Horford	Bos	C	30	18	33.9	70.6	17.4	0.133	29	0.759	138	0.609	52	0.519	0.668	15.1	6.6	11.3	5.4	25.9	0.83	0.78	9.6
3	Alex Abrines	Okc	SG	23	5	16	33.4	13.2	0	4	0.75	6	0.5	17	0.294	0.485	4.8	1.8	6.1	0.8	7.1	0	0	4.8
4	Al-Farouq Aminu	Por	SF	26	4	28.2	58.8	18.7	0.177	11	0.636	20	0.5	17	0.412	0.574	12	6.5	12.2	1	6	0.75	1	6.1
5	Allen Crabbe	Por	SG	24	4	23	47.9	11.9	0.038	3	0.333	11	0.545	13	0.231	0.434	5.5	3.3	7.5	0.5	3.4	0.25	0	3.6
6	Amir Johnson	Bos	PF	29	14	10.2	21.2	12.6	0.152	8	0.625	27	0.519	3	0.333	0.537	2.6	2.1	12.4	0.2	3.1	0.36	0.43	4
7	Andre Iguodala	Gol	SF	33	16	26.2	54.6	13.1	0.125	26	0.577	59	0.644	42	0.19	0.511	7.2	4	8.2	3.3	15.8	0.94	0.44	7
8	Andre Roberson	Okc	SF	25	5	37.1	77.3	14.4	0.112	21	0.143	29	0.586	17	0.412	0.525	11.6	6	8.7	1.8	7.2	2.4	3.4	5.4
9	Andrew Harrison	Mem	SG	22	6	19.8	41.3	15.2	0.083	9	0.889	16	0.5	13	0.385	0.592	6.5	1.8	6	2.2	18.2	0.5	0.17	6
10	Anthony Morrow	Chi	SG	31	3	9.6	20	15.5	0	2	1	9	0.556	0	0	0.607	4	1	5.9	0.7	11.9	0	0	5.9
11	Austin Rivers	Lac	SG	24	3	30.1	62.6	17	0.157	2	1	13	0.385	13	0.308	0.446	8	2.7	5.7	1	5	0.33	0.33	3.7
12	Avery Bradley	Bos	SG	26	18	35.8	74.6	22.2	0.098	27	0.778	158	0.506	114	0.351	0.53	16.7	3.9	6.4	2.3	10.4	1.33	0.17	5.9
13	Blake Griffin	Lac	PF	27	3	33.1	69	29.1	0.1	7	1	45	0.467	6	0.667	0.564	20.3	6	11.5	2.3	13.9	0.67	0.33	7.9
14	Bobby Portis	Chi	PF	21	6	20.1	41.9	14.6	0.154	0	0	20	0.55	13	0.462	0.606	6.7	6.2	17.2	1.2	9.4	0.5	0.5	7.3
15	Bojan Bogdanovic	Was	SF	27	13	20.3	42.3	17.8	0.073	32	0.844	42	0.476	45	0.356	0.569	8.8	4.2	12	0.7	4.9	0.46	0.08	5.8
16	Boris Diaw	Uta	PF	34	11	18.4	38.4	15.6	0.211	10	0.9	34	0.529	14	0.429	0.601	5.7	1.9	6.2	2	17.4	0.64	0.36	6.1
17	Bradley Beal	Was	SG	23	13	38.9	81	26.7	0.086	61	0.82	158	0.589	101	0.287	0.565	24.8	3.4	5	2.7	11.8	1.62	0.62	6.3
18	Brandan Wright	Mem	PF	29	2	6.2	12.9	24.2	0.167	0	0	5	0.4	0	0	0.4	2	1	10.4	0	0	0	1	0
19	Brandon Jennings	Was	PG	27	13	13.7	28.6	11.7	0.165	8	0.875	24	0.5	13	0.154	0.457	2.8	1.5	6.2	1.8	18	0.15	0	5.7
20	Bryn Forbes	San	SG	23	6	12.1	25.3	16.2	0.075	6	1	13	0.308	9	0.222	0.406	3.3	1.2	5.6	0.5	5.6	0	0.17	4.2
