Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
21	Channing Frye	Cle	C	33	12	12.8	26.8	18.8	0.031	7	0.857	21	0.524	39	0.513	0.698	7.3	1.8	8.3	1.1	12.9	0.25	0.42	7.6
22	Chris Paul	Lac	PG	31	7	37.2	77.4	31.2	0.113	33	0.879	97	0.546	38	0.368	0.592	25.3	5.1	8.8	9.9	52.9	1.71	0.14	11.7
23	CJ McCollum	Por	SG	25	4	35.1	73.1	30.2	0.147	16	0.938	58	0.362	22	0.5	0.517	22.5	6	9.1	1	5.6	1	0.5	5.8
24	CJ Miles	Ind	SF	29	4	20.5	42.7	14.3	0.074	2	1	8	0.75	16	0.313	0.583	7.3	2	5.7	0.3	1.7	0.5	0.25	3.2
25	Clint Capela	Hou	C	22	11	26	54.2	16.4	0.075	39	0.615	81	0.568	1	0	0.585	10.5	8.8	18.3	1.1	6.9	0.73	2.55	7.2
26	Cory Joseph	Tor	SG	25	10	21.2	44.1	19.6	0.158	8	1	49	0.449	22	0.409	0.53	7.9	2.1	6	3.1	24.8	0.3	0.2	7
27	Cristiano Felicio	Chi	C	24	6	13.7	28.5	12.6	0.306	2	0.5	15	0.6	0	0	0.598	3.2	4.3	17.8	0.3	3.8	0.5	0.33	4.7
28	Damian Jones	Gol	C	21	4	5.2	10.8	16.3	0	2	0.5	7	0.429	0	0	0.444	1.8	1.5	15.6	0	0	0.5	0.25	0
29	Damian Lillard	Por	PG	26	4	37.7	78.4	31.5	0.114	25	0.96	58	0.517	32	0.281	0.55	27.8	4.3	6	3.3	18	1.25	0.5	7.8
30	Danny Green	San	SG	29	16	27.2	56.7	13.6	0.127	14	0.571	35	0.543	76	0.342	0.529	7.8	3.5	7.4	1.4	7.3	0.63	0.94	5
31	Dante Exum	Uta	PG	21	7	12	24.9	18.6	0.092	6	1	15	0.467	12	0.333	0.54	4.6	0.9	4.3	1.3	17.6	0.71	0	5.8
32	David Lee	San	PF	33	15	16.3	34.1	11.1	0.098	17	0.647	47	0.532	1	0	0.55	4.1	3.8	13.4	0.7	6.2	0.27	0.33	5.4
33	David West	Gol	PF	36	17	13	27.1	14.2	0.137	9	0.778	57	0.579	2	0.5	0.604	4.5	2.7	11.2	2.1	22	0.35	0.82	9.1
34	Davis Bertans	San	PF	24	13	8.6	18	14.1	0.168	6	0.667	7	0.571	20	0.4	0.607	2.8	1.5	9.8	0.3	5	0.23	0.31	5
35	DeAndre Jordan	Lac	C	28	7	37.8	78.7	18.7	0.166	56	0.393	60	0.717	1	0	0.631	15.4	14.3	24.1	0.7	3.2	0.43	0.86	5.7
36	Dejounte Murray	San	PG	20	11	15.3	31.9	23.2	0.182	25	0.68	58	0.397	3	0	0.438	5.7	2.4	8.9	2.5	23.4	1.45	0.18	8.5
37	Delon Wright	Tor	PG	24	9	10.2	21.2	12.8	0.199	7	0.714	11	0.636	6	0.333	0.623	2.8	1.4	8.6	1.4	22.2	0.44	0.11	6.9
38	DeMar DeRozan	Tor	SG	27	10	37.3	77.8	29.5	0.106	80	0.888	160	0.469	15	0.067	0.533	22.4	4.9	7.9	3.4	17.1	1.4	0	7.7
39	DeMarre Carroll	Tor	SF	30	10	15.5	32.2	13.9	0.109	9	0.556	15	0.533	22	0.318	0.513	4.2	2.7	10.5	0.5	5.1	0.8	0.6	4.6
40	Dennis Schroder	Atl	PG	23	6	35.3	73.4	27.3	0.073	37	0.838	70	0.471	40	0.425	0.586	24.7	2.3	3.7	7.7	39.9	1.17	0	8.6
41	Denzel Valentine	Chi	SG	23	4	5.5	11.5	16.3	0.25	0	0	2	0.5	4	0.25	0.417	1.3	2	20.4	0.5	13.6	0	0.25	7.9
42	Deron Williams	Cle	PG	32	18	14.6	30.4	14.6	0.198	11	0.909	33	0.485	31	0.387	0.567	4.3	1.3	5.1	2.1	19.4	0.56	0.06	6.2
43	Derrick Favors	Uta	PF	25	11	20.4	42.6	16.1	0.053	23	0.478	62	0.581	0	0	0.575	7.5	5.5	16	0.9	7.6	0.73	0.55	6.5
44	Dewayne Dedmon	San	C	27	12	8.1	16.8	20.7	0.177	32	0.531	23	0.609	0	0	0.607	3.8	3.9	28.1	0.3	4.6	0.17	0.25	8.1
45	Doug McDermott	Okc	SF	25	5	13.3	27.6	12.3	0.053	0	0	5	0.4	13	0.538	0.694	5	1	4.1	0.2	2.3	0.2	0.4	3
46	Draymond Green	Gol	PF	26	17	34.9	72.6	16.3	0.151	67	0.687	83	0.482	78	0.41	0.583	13.1	9.1	14.1	6.4	23.8	1.82	1.65	10.5
47	Dwight Howard	Atl	C	31	6	26.1	54.4	15	0.199	19	0.632	36	0.5	0	0	0.541	8	10.7	22.9	1.3	7.7	1	0.83	7.4
48	Dwyane Wade	Chi	SG	35	6	31.7	66	25	0.095	21	0.952	69	0.377	17	0.353	0.472	15	5	8.9	4	21.4	0.67	1.33	8.4
49	Enes Kanter	Okc	C	24	5	9.1	19	28	0.067	4	1	26	0.385	0	0	0.432	4.8	1.6	9.5	0.2	3.8	0	1	5.1
50	Eric Gordon	Hou	SG	28	11	32.6	67.8	17.5	0.098	18	0.722	51	0.471	70	0.386	0.551	12.9	3.9	6.5	2	9.8	0.73	0.55	5.7
51	Ersan Ilyasova	Atl	PF	29	6	15.1	31.4	15	0.156	9	0.778	18	0.389	5	0.2	0.445	4	5.2	19.2	0.3	3.2	0.17	0	4.9
52	Evan Turner	Por	SG	28	4	31	64.6	15.8	0.149	16	0.75	19	0.368	14	0.357	0.512	10.3	5.8	9.8	3.8	18.8	1.75	0.5	7.9
53	George Hill	Uta	PG	30	8	35.1	73.2	21	0.105	29	0.724	67	0.507	31	0.387	0.564	15.6	4.3	7.3	3.6	17.8	0.25	0.13	7.1
54	Gerald Green	Bos	SG	31	13	14.8	30.8	19.8	0.095	9	0.889	27	0.481	45	0.467	0.638	7.5	1.5	6.1	0.7	7.6	0.23	0.08	5.4
55	Giannis Antetokounmp	Mil	SF	22	6	40.5	84.4	30	0.131	46	0.543	103	0.544	10	0.4	0.559	24.8	9.7	14.3	4	20.6	2.17	1.67	9.8
56	Glenn Robinson III	Ind	SF	23	3	10.4	21.6	9.7	0	2	0.5	4	1	2	1	1.09	5	1	5.7	0.3	4.9	0	0	4.4
57	Gordon Hayward	Uta	SF	26	11	37.3	77.8	28.5	0.098	76	0.934	120	0.458	68	0.412	0.598	24.1	5.9	9.5	3.4	16.7	0.91	0.27	8.4
58	Greg Monroe	Mil	C	26	6	23.5	49	25.3	0.146	30	0.833	51	0.529	0	0	0.615	13.2	7.3	18.7	1.7	13.3	1.33	0.5	9.3
59	Ian Clark	Gol	SG	25	16	13.7	28.6	19.1	0.113	17	0.941	43	0.628	36	0.361	0.63	6.8	1.6	6.4	0.7	7	0.38	0	5.7
60	Ian Mahinmi	Was	C	30	5	12.5	26.1	11.6	0.178	11	0.364	9	0.556	0	0	0.506	2.8	2.2	10.1	1.2	12.8	0	1.2	6.2
61	Iman Shumpert	Cle	SG	26	17	16.2	33.7	11.9	0.082	17	0.824	34	0.441	26	0.385	0.548	4.4	2.8	10	0.9	7.6	0.65	0.18	5.5
62	Isaiah Canaan	Chi	SG	25	3	31.8	66.2	15.9	0.149	6	0.667	12	0.667	14	0.357	0.611	11.7	1.3	2.4	1.3	6.8	1	0	3.4
63	Isaiah Thomas	Bos	PG	27	15	34.7	72.3	31.4	0.139	111	0.82	153	0.49	108	0.333	0.563	23.3	3.1	5.2	6.7	33	0.87	0.13	9.1
64	Jae Crowder	Bos	SF	26	18	33.1	69	17.7	0.051	48	0.833	110	0.509	90	0.344	0.554	13.6	6.4	11.4	2.6	12.1	1	0.33	7.4
65	Jake Layman	Por	SF	22	2	8	16.7	12.7	0	2	0.5	3	0.333	1	1	0.615	3	0.5	3.3	0.5	10.2	0.5	0	4.5
66	Jamal Crawford	Lac	SG	36	7	27.9	58.2	23.9	0.093	12	1	58	0.5	25	0.24	0.498	12.6	1.4	3.3	1.9	11.5	0.57	0.14	4.6
67	James Ennis III	Mem	SF	26	6	26.5	55.1	16.2	0.137	14	0.857	19	0.526	19	0.316	0.566	8.3	4.2	10.2	1.2	7.2	0.83	0.33	5.2
68	James Harden	Hou	PG	27	11	37	77	35.4	0.18	115	0.878	103	0.563	115	0.278	0.583	28.5	5.5	8	8.5	41.7	1.91	0.45	11.9
69	JaMychal Green	Mem	PF	26	6	19.6	40.9	17.6	0.097	3	1	20	0.5	16	0.438	0.589	7.3	3.3	11	0.3	3	0	0.17	3.9
70	Jason Smith	Was	C	30	13	12.1	25.1	15.2	0.181	14	0.714	29	0.552	10	0.3	0.565	3.9	2.3	11	0.3	3.6	0.15	0.62	4.6
71	Jason Terry	Mil	SG	39	6	11.3	23.6	15	0.093	1	1	8	0.5	11	0.182	0.386	2.5	1.5	7.9	0.8	11.6	0.5	0.17	5.1
72	JaVale McGee	Gol	C	29	16	9.3	19.3	20.8	0.111	18	0.722	56	0.732	0	0	0.743	5.9	3.1	17.8	0.3	4.4	0.13	0.94	7.6
73	Jaylen Brown	Bos	SF	20	17	12.6	26.3	19.4	0.141	18	0.667	48	0.604	23	0.217	0.539	5	2.1	9.8	0.8	9.5	0.35	0.12	6.5
74	Jeff Teague	Ind	PG	28	4	35.6	74.2	18.7	0.131	18	0.833	28	0.464	17	0.529	0.642	17	3.3	5.4	6.3	25.5	1	0.75	7.9
75	Jeff Withey	Uta	C	26	3	6.9	14.4	11.2	0	2	0.5	4	0.5	0	0	0.512	1.7	1.3	11.6	0.3	7.5	0.33	0.33	5.1
76	Jerami Grant	Okc	SF	22	5	22.1	46.1	14.4	0.081	7	0.857	25	0.68	6	0.333	0.675	9.2	3.8	9.3	0.8	5.7	0.2	0.4	5.5
77	Jerian Grant	Chi	PG	24	5	10.4	21.6	27.3	0.223	3	1	14	0.357	9	0.111	0.329	3.2	0.8	4.3	1	15.1	0.4	0	5.3
78	Jimmy Butler	Chi	SF	27	6	39.8	82.9	27	0.105	47	0.809	85	0.471	22	0.273	0.533	22.7	7.3	10.4	4.3	19.3	1.67	0.83	9
79	JJ Redick	Lac	SG	32	7	29.4	61.2	16.8	0.181	20	0.85	24	0.417	26	0.346	0.544	9.1	1.7	3.7	0.9	4.4	0.29	0	3.3
80	Joe Ingles	Uta	SF	29	11	30.3	63.2	11.7	0.195	9	0.667	21	0.476	41	0.366	0.538	6.5	3.8	7.6	3.3	16.2	2	0.45	5.7
81	Joe Johnson	Uta	SF	35	11	29.7	61.8	22.1	0.079	15	0.733	88	0.489	45	0.333	0.509	12.9	3.8	7.7	2.5	14.6	0.55	0.09	6.7
82	Joel Anthony	San	C	34	3	5.2	10.8	15.5	0.184	1	0	4	0.75	0	0	0.676	2	1.3	14.9	0	0	0	0.67	0
83	Joffrey Lauvergne	Chi	C	25	3	8.7	18.2	26.9	0.128	6	1	9	0.444	2	0	0.513	4.7	3	19.3	1.7	31.6	0	0	13.3
84	John Henson	Mil	C	26	2	5.8	12	22.5	0.184	1	1	4	0.25	0	0	0.338	1.5	2	20.8	0	0	0.5	0	0
85	John Wall	Was	PG	26	13	39	81.2	32.1	0.146	93	0.839	220	0.482	61	0.344	0.548	27.2	3.8	5.6	10.3	45.8	1.69	1.15	10.5
86	Jonas Jerebko	Bos	PF	29	12	10.7	22.2	14.4	0.148	8	1	16	0.625	15	0.333	0.623	3.6	2.4	13.3	1	13.8	0.42	0.25	7.7
87	Jonas Valanciunas	Tor	C	24	10	22.6	47.1	22.5	0.12	33	0.727	80	0.55	1	0	0.586	11.2	6.7	17.9	0.2	1.6	0.2	0.6	4.4
88	Jonathon Simmons	San	SG	27	15	20.4	42.5	23.3	0.068	31	0.677	99	0.495	37	0.351	0.528	10.5	1.8	5.1	1.9	14.8	0.6	0.13	6.5
89	Jordan Mickey	Bos	PF	22	2	8.9	18.4	15.4	0.167	0	0	5	0.4	0	0	0.4	2	2.5	16.6	0	0	0	0.5	0
90	Jose Calderon	Atl	PG	35	6	12.6	26.1	15.2	0.148	0	0	11	0.636	12	0.333	0.565	4.3	1.3	6	2.2	27.2	0.33	0.17	7.3
91	JR Smith	Cle	SG	31	18	27	56.3	10.6	0.104	11	0.455	19	0.526	80	0.5	0.698	8.1	2.3	5	0.7	3.6	0.72	0.33	3.5
92	Jusuf Nurkic	Por	C	22	1	16.7	34.8	14.9	0.5	0	0	2	0.5	1	0	0.333	2	11	34.9	4	35.2	0	1	10.7
93	Kawhi Leonard	San	SF	25	12	35.8	74.5	28.2	0.095	102	0.931	147	0.551	55	0.455	0.672	27.7	7.8	12.5	4.6	22.3	1.67	0.5	11.2
94	Kelly Olynyk	Bos	C	25	18	19.2	40.1	21	0.137	30	0.733	78	0.628	47	0.319	0.597	9.2	3.2	9.8	1.9	16.6	0.72	0.78	8
95	Kelly Oubre Jr.	Was	SF	21	12	15.4	32	16.9	0.097	10	0.7	31	0.484	30	0.367	0.535	5.8	2.3	8.8	0.3	3.2	0.83	0.42	4.1
96	Kent Bazemore	Atl	SF	27	6	25.1	52.2	21.2	0.213	14	0.714	29	0.483	24	0.292	0.499	9.8	3.8	8.6	3.2	19.7	0.67	0.83	7.8
97	Kevin Durant	Gol	SF	28	15	35.5	74	28.3	0.108	103	0.893	182	0.61	86	0.442	0.683	28.5	7.8	11.8	4.3	19.5	0.8	1.33	11.1
98	Kevin Love	Cle	PF	28	18	32.1	66.8	21.8	0.11	75	0.84	107	0.421	111	0.45	0.604	16.8	10.5	19.1	1.7	7.5	1.17	1	8.3
99	Kevin Seraphin	Ind	PF	27	4	14.7	30.7	24.6	0.121	7	0.714	26	0.462	0	0	0.499	7.3	3.5	14	1	10.6	0	0.5	8
100	Khris Middleton	Mil	SG	25	6	38.5	80.3	20.3	0.111	22	0.818	59	0.407	19	0.368	0.496	14.5	4.7	7.3	5.3	23.4	2	0	7.4
101	Klay Thompson	Gol	SG	26	17	35	73	19.9	0.09	33	0.788	131	0.405	106	0.387	0.507	15	3.9	6	2.1	8	0.82	0.29	5.7
102	Kyle Anderson	San	SG	23	15	13	27	16.8	0.095	11	0.727	52	0.635	10	0.3	0.621	5.5	3.1	13.7	1.7	20.1	0.67	0.13	9.5
103	Kyle Korver	Cle	SG	35	18	18.1	37.8	12.4	0.066	10	1	11	0.636	69	0.391	0.622	5.8	1.7	5.4	0.7	5.3	0.39	0.22	4.2
104	Kyle Lowry	Tor	PG	30	8	37.6	78.2	19.4	0.137	33	0.818	55	0.545	38	0.342	0.586	15.8	3.1	5	5.9	26.4	1.5	0.5	7
105	Kyle Singler	Okc	SF	28	1	10.4	21.7	4.1	0	0	0	1	0	0	0	0	0	1	5.2	0	0	0	0	0
106	Kyle Wiltjer	Hou	PF	24	1	5.4	11.3	8.1	0	0	0	0	0	1	1	1.5	3	0	0	0	0	0	0	0
107	Kyrie Irving	Cle	PG	24	18	36.3	75.6	31	0.106	84	0.905	252	0.512	118	0.373	0.573	25.9	2.8	4.5	5.3	24.7	1.28	0.44	8
108	LaMarcus Aldridge	San	PF	31	16	33.6	70	24	0.096	55	0.764	225	0.48	14	0.143	0.502	16.5	7.5	12.9	1.5	7.2	0.63	1	6.8
109	Lance Stephenson	Ind	SG	26	4	26.8	55.8	24	0.068	4	0.75	35	0.571	18	0.389	0.584	16	5.3	11.5	2.8	17.3	0.5	0	9.2
110	LeBron James	Cle	SF	32	18	41.3	86.1	31.7	0.138	162	0.698	277	0.625	107	0.411	0.649	32.8	9.1	12.8	7.8	33.7	1.94	1.28	12.8
111	Lou Williams	Hou	SG	30	11	24.7	51.4	23.2	0.09	29	0.897	79	0.481	39	0.308	0.528	12.5	2.7	6	1.3	8.8	0.64	0.09	5.7
112	Luc Mbah a Moute	Lac	PF	30	7	32	66.6	11.8	0.055	20	0.7	27	0.444	16	0.313	0.512	7.6	5	10	1	4.6	1.14	0.57	4.2
113	Malcolm Brogdon	Mil	SG	24	6	30.5	63.6	17.4	0.179	0	0	34	0.353	21	0.476	0.491	9	4.3	8.5	3.5	18.9	0.5	0.33	6.7
114	Manu Ginobili	San	SG	39	16	17.8	37	18.6	0.101	23	0.739	57	0.544	40	0.225	0.495	6.6	2.4	7.9	2.4	20.1	1	0.13	7.6
115	Marc Gasol	Mem	C	32	6	40	83.2	23.3	0.126	33	0.939	71	0.451	12	0.583	0.595	19.3	6.5	10.5	4.2	19.1	0.33	0.67	8.1
116	Marcin Gortat	Was	C	32	13	31.4	65.5	12.4	0.144	18	0.611	93	0.505	0	0	0.52	8.1	11.1	20.4	1.8	8.2	0.38	1.54	6.9
117	Marcus Smart	Bos	PG	22	18	29.9	62.2	16.4	0.201	50	0.64	60	0.3	73	0.397	0.5	8.6	4.7	9.2	4.7	22.3	1.44	0.94	7.7
118	Markieff Morris	Was	PF	27	13	28.7	59.8	20.8	0.117	31	0.806	107	0.421	38	0.368	0.495	12.1	6.3	12.7	1.7	8.8	0.92	1.31	7.1
119	Marreese Speights	Lac	C	29	7	14	29.1	21.8	0.068	10	0.7	17	0.529	20	0.35	0.556	6.6	2.6	11.7	0.4	5.1	0.29	0.43	5.4
120	Matt Barnes	Gol	SF	36	12	5.1	10.6	12.7	0.167	0	0	7	0.429	8	0.125	0.3	0.8	0.8	8	0.6	13.9	0.17	0	5.7
121	Matthew Dellavedova	Mil	PG	26	6	26.4	55.1	15.7	0.134	10	0.8	25	0.4	16	0.375	0.507	7.7	2	4.5	2	12.1	0.17	0	4.7
122	Maurice Harkless	Por	SF	23	4	24.8	51.6	16.2	0.026	8	0.875	22	0.364	12	0.167	0.386	7.3	3.3	7	0.8	4.7	1	1	4.3
123	Meyers Leonard	Por	PF	24	3	10.2	21.2	12.3	0.444	0	0	1	1	4	0	0.2	0.7	2.7	13.9	0.3	4.6	0	0	3.2
124	Michael Beasley	Mil	PF	28	4	12	25.1	23.5	0.084	4	0	15	0.267	5	0.6	0.391	4.3	2.3	11.2	0.3	3.6	0.25	0.25	4.8
125	Michael Carter-Willi	Chi	PG	25	5	10.5	21.9	19.5	0.264	4	0.5	14	0.429	1	0	0.418	2.8	0.8	4.3	1.2	17.7	0.4	0.2	5.3
126	Mike Conley	Mem	PG	29	6	37.3	77.6	29.4	0.091	37	0.838	65	0.508	38	0.447	0.62	24.7	3.3	5.8	7	38.6	1.67	0.5	8.9
127	Mike Dunleavy	Atl	SF	36	6	8.9	18.4	11.8	0.407	4	1	2	0.5	5	0.4	0.685	2	0.8	5.3	0.3	5.2	0.17	0	3.5
128	Mike Muscala	Atl	C	25	6	13.5	28.1	11.8	0.044	8	0.875	14	0.357	4	0	0.395	2.8	2.7	11.1	0.3	3.4	0.17	0.5	3.9
129	Mirza Teletovic	Mil	PF	31	3	9.1	19	12.1	0.143	0	0	2	0	4	0.25	0.25	1	1	6.6	0	0	0.33	0	0
130	Monta Ellis	Ind	SG	31	4	18.9	39.3	15.2	0.153	5	0.8	12	0.5	8	0.25	0.495	5.5	2	6.2	1.3	9	0.5	0.25	5.1
131	Myles Turner	Ind	C	20	4	33.3	69.3	17.6	0.112	8	0.625	38	0.5	6	0	0.452	10.8	6.8	11.9	0.8	3.2	1.75	1.5	4.7
132	Nene	Hou	C	34	9	17.9	37.3	20.1	0.122	31	0.581	50	0.72	1	0	0.696	10	4.7	14.1	0.6	5.7	0.67	0.44	6.8
133	Nikola Mirotic	Chi	PF	25	6	27	56.2	16.3	0.068	10	0.8	15	0.467	35	0.286	0.478	8.7	5	10.4	1.5	8.5	0.83	0.5	6
134	Noah Vonleh	Por	PF	21	4	25.1	52.2	10.9	0.229	5	0.4	18	0.444	0	0	0.446	4.5	7.3	15.4	2	12.1	0.25	1	6.4
135	Norman Powell	Tor	SG	23	9	25.2	52.6	22.4	0.147	24	0.833	48	0.417	34	0.441	0.567	11.7	3.3	8	1.6	10.6	1	0.44	6.3
136	Norris Cole	Okc	PG	28	4	6.2	12.8	17.4	0.2	0	0	4	0.25	4	0.25	0.313	1.3	0.3	2.2	0.3	5.6	0	0.25	3.2
137	Otto Porter Jr.	Was	SF	23	13	32.9	68.6	13.5	0.074	35	0.886	70	0.671	39	0.282	0.635	12.2	6.8	12	1.8	7.8	1.69	0.54	6.5
138	Pascal Siakam	Tor	PF	22	2	5.1	10.5	9.3	0	0	0	2	0	0	0	0	0	1.5	17.9	0.5	13.5	0.5	0	0
139	Pat Connaughton	Por	SG	24	3	8	16.6	18	0	3	1	3	0.667	6	0	0.339	2.3	2.3	15.5	1.3	25.5	0	0	9.5
140	Patrick Beverley	Hou	SG	28	11	29.5	61.5	18.1	0.142	14	0.786	57	0.421	52	0.404	0.53	11.1	5.4	9.8	3	16.1	1.45	0.18	7.7
141	Patrick McCaw	Gol	SG	21	15	12.1	25.1	13.5	0.053	13	0.846	25	0.52	23	0.348	0.568	4.1	2.2	9.9	1.1	11.4	0.6	0.2	7.1
142	Patrick Patterson	Tor	PF	27	10	18.5	38.5	11.3	0.134	6	1	10	0.2	26	0.308	0.44	3.4	2	6.5	1.9	15.1	0.8	0.2	5.1
143	Patty Mills	San	PG	28	16	26	54.2	18.2	0.123	22	0.864	51	0.49	89	0.36	0.551	10.3	2.1	4.7	2.7	15.1	0.81	0.06	6
144	Pau Gasol	San	C	36	16	22.8	47.6	17.3	0.126	24	0.708	96	0.458	18	0.333	0.494	7.7	7.1	18	1.9	12.4	0.44	1.06	8.2
145	Paul George	Ind	SF	26	4	42.9	89.4	29.1	0.114	30	0.867	46	0.348	42	0.429	0.553	28	8.8	12	7.3	26.2	1.75	0.25	11.3
146	Paul Millsap	Atl	PF	31	6	36.6	76.2	28.1	0.158	53	0.811	82	0.573	17	0.176	0.597	24.3	9.3	14.3	4.3	21.4	1.5	0.67	10.8
147	Paul Pierce	Lac	SF	39	7	14.5	30.2	10.6	0.178	1	1	8	0.5	10	0.4	0.569	3	2	8.8	0.9	8.7	0.29	0	4.8
148	Paul Zipser	Chi	SF	22	6	22.7	47.2	14.4	0.161	8	1	17	0.529	16	0.375	0.602	7.3	3.3	8.3	0.5	3.4	0.17	0.17	4
149	PJ Tucker	Tor	SF	31	10	25.1	52.4	11.3	0.132	8	0.625	21	0.429	28	0.321	0.476	5	5.7	13.7	1.2	7.2	0.6	0.2	5.2
150	Rajon Rondo	Chi	PG	30	2	33.7	70.2	20.7	0.13	2	0.5	20	0.55	6	0	0.428	11.5	8	13.4	10	50	3.5	0.5	11.5
151	Raul Neto	Uta	PG	24	9	6.7	14	14	0.169	4	1	7	0.714	6	0.5	0.779	2.6	0.8	7	0.4	10.9	0.11	0.11	5.6
152	Raymond Felton	Lac	PG	32	7	18.1	37.8	14.1	0.081	5	1	23	0.478	9	0.444	0.57	5.6	1.4	5	1.4	12.3	0.86	0	4.9
153	Richard Jefferson	Cle	SF	36	14	12.8	26.6	14.6	0.137	28	0.643	19	0.579	19	0.263	0.547	3.9	1.8	8.2	0.5	5.1	0.14	0.21	4.7
154	Robin Lopez	Chi	C	28	6	27	56.3	17.7	0.126	8	1	52	0.654	0	0	0.684	12.7	7.2	14.9	0.8	5.6	0.5	1.17	6.2
155	Rodney Hood	Uta	SG	24	11	25.2	52.4	21.3	0.089	18	0.611	55	0.436	50	0.26	0.434	8.9	2.8	6.7	1.1	7.1	0.45	0	4.8
156	Rudy Gobert	Uta	C	24	9	27.3	56.9	18.2	0.096	50	0.48	63	0.635	0	0	0.612	11.6	9.9	21.7	1.2	7.7	1	1.44	7.6
157	Russell Westbrook	Okc	PG	28	5	38.9	81	46.9	0.141	70	0.8	103	0.447	49	0.265	0.511	37.4	11.8	16.4	10.8	55.4	2.4	0.4	17.3
158	Ryan Anderson	Hou	PF	28	11	30.5	63.6	14.1	0.083	16	0.875	32	0.594	60	0.283	0.52	9.4	5.3	9.3	0.6	3.1	0.55	0.18	4.1
159	Sam Dekker	Hou	SF	22	4	7.9	16.4	16.8	0	0	0	6	0	6	0.5	0.375	2.3	2.5	17.2	0.3	4.7	0.25	0.25	6.1
160	Semaj Christon	Okc	PG	24	2	10.3	21.5	10.4	0	0	0	2	0.5	3	0.333	0.5	2.5	1.5	7.9	2.5	34.3	0.5	0	8.2
